Name,State,Expected Price,Actual Price,Price Residual
Hurricane Ridge,Washington,44.16437167851386,57.0,12.83562832148614
Mt. Bachelor,Oregon,211.29831259678232,224.0,12.701687403217676
Norway Mountain,Michigan,56.36549571240687,69.0,12.634504287593131
West Mountain,New York,76.3712961211138,89.0,12.6287038788862
Bolton Valley,Vermont,106.38417784439535,119.0,12.615822155604647
Bear Creek Mountain Resort,Pennsylvania,72.40449397985346,85.0,12.595506020146544
Caberfae Peaks,Michigan,66.50649115034602,79.0,12.493508849653978
Shanty Creek Resorts – Schuss Mountain,Michigan,83.66305514261126,96.0,12.336944857388744
Hermon Mountain,Maine,42.66888554000399,55.0,12.331114459996009
Bousquet,Massachusetts,67.69440464441998,80.0,12.305595355580024
Pine Mountain,Michigan,57.645708697306304,69.0,11.354291302693696
The Highlands at Harbor Springs,Michigan,100.68555004983085,112.0,11.314449950169148
Tussey Mountain,Pennsylvania,51.06185770947245,62.0,10.938142290527551
Crotched Mountain,New Hampshire,83.49170925973914,94.0,10.508290740260861
Cranmore Mountain Resort,New Hampshire,108.7690731638491,119.0,10.2309268361509
Loup Loup Ski Bowl,Washington,59.83900808471495,70.0,10.160991915285052
Christie Mountain,Wisconsin,42.88581245006619,53.0,10.11418754993381
Otsego,Michigan,64.9744969315944,75.0,10.025503068405598
Telluride,Colorado,250.0922089553031,260.0,9.907791044696893
Appalachian Ski Mountain,North Carolina,69.2136642383131,79.0,9.7863357616869
Granlibakken,California,35.24073642149665,45.0,9.75926357850335
Eagle Point,Utah,80.54724295108291,90.0,9.452757048917093
Cataloochee,North Carolina,76.9699178849051,86.0,9.030082115094899
Catamount,New York,95.97767908162673,105.0,9.022320918373268
Wenatchee – Mission Ridge,Washington,110.18640932608008,119.0,8.813590673919919
The Omni Homestead,Virginia,55.31970924390324,64.0,8.68029075609676
Mont Ripley,Michigan,51.39010910146815,60.0,8.609890898531852
Copper Mountain,Colorado,255.5628675764836,264.0,8.437132423516402
Las Vegas Ski and Snowboard Resort – Lee Canyon,Nevada,75.6826292474968,84.0,8.317370752503194
Mt. La Crosse,Wisconsin,66.7079624404509,75.0,8.292037559549101
Mad River Glen,Vermont,90.76604932197401,99.0,8.233950678025991
Brighton,Utah,150.94207066415885,159.0,8.057929335841152
Trollhaugen,Wisconsin,58.96294393972369,67.0,8.037056060276313
Dry Hill,New York,42.05467306594801,50.0,7.945326934051991
Sunburst,Wisconsin,62.26059235089568,70.0,7.739407649104322
Ober Mountain,Tennessee,91.32850179741197,99.0,7.671498202588026
Mount Peter,New York,71.56590160682185,79.0,7.434098393178147
Bryce Resort,Virginia,73.14984246333631,80.0,6.850157536663687
Hunt Hollow Ski Club,New York,63.67270309511265,70.0,6.327296904887348
Grand Geneva,Wisconsin,63.68897322585266,70.0,6.3110267741473365
Kelly Canyon,Idaho,72.84857432790068,79.0,6.151425672099322
Spirit Mountain,Minnesota,80.0296059109486,86.0,5.970394089051396
Pats Peak,New Hampshire,93.35560095613296,99.0,5.64439904386704
Montage Mountain Resort,Pennsylvania,83.42676301653306,89.0,5.573236983466941
Nashoba Valley,Massachusetts,74.49057997781767,80.0,5.509420022182326
Schweitzer Mountain Resort,Idaho,144.76589833763353,150.0,5.23410166236647
Canaan Valley,West Virginia,84.94407013903435,90.0,5.055929860965648
Cascade Mountain,Wisconsin,93.98349863937491,99.0,5.016501360625085
Blue Knob,Pennsylvania,85.01327242233006,90.0,4.986727577669939
Cloudcroft,New Mexico,60.023099422089224,65.0,4.976900577910776
Laurel Mountain,Pennsylvania,61.128727618517004,66.0,4.871272381482996
Heavenly,California,260.17923134560044,265.0,4.820768654399558
Tamarack Resort,Idaho,135.31712916406303,140.0,4.682870835936967
Lost Valley,Maine,61.4129855714956,66.0,4.587014428504403
Mt. Lemmon,Arizona,64.4207565577158,69.0,4.579243442284195
Villa Olivia,Illinois,40.79132845038469,45.0,4.20867154961531
Mt. Jefferson,Maine,40.816747252791046,45.0,4.183252747208954
Granite Peak,Wisconsin,100.82217456170429,105.0,4.177825438295713
Mt. Waterman,California,76.23847278441104,80.0,3.7615272155889556
Big Sky Resort,Montana,271.79038419015694,275.0,3.209615809843058
Loon Mountain,New Hampshire,142.23959663171982,145.0,2.76040336828018
Echo Valley – Lake Chelan,Washington,37.35222159767517,40.0,2.647778402324832
Jiminy Peak,Massachusetts,106.36868256286382,109.0,2.6313174371361754
Mammoth Mountain,California,256.3791435689533,259.0,2.620856431046718
Powder Ridge (Minnesota),Minnesota,52.39002920514574,55.0,2.609970794854263
Soda Springs,California,67.45920015281143,70.0,2.540799847188566
Timberline Mountain (West Virginia),West Virginia,92.6595519785121,95.0,2.3404480214879015
Snow Ridge,New York,62.710813300122744,65.0,2.2891866998772556
Otis Ridge,Massachusetts,52.74199018191023,55.0,2.258009818089768
Sundown (Connecticut),Connecticut,73.00512370163167,75.0,1.9948762983683253
Elk Mountain,Pennsylvania,87.10248980101244,89.0,1.8975101989875611
Seven Oaks,Iowa,46.33937406985024,48.0,1.660625930149763
Willard Mountain,New York,60.48279342913222,62.0,1.5172065708677778
Mont du Lac,Wisconsin,53.61224249047933,54.99,1.37775750952067
Mountain Creek,New Jersey,98.7203565615632,99.99,1.2696434384368018
Berkshire East,Massachusetts,97.96342444095738,99.0,1.0365755590426176
Swain,New York,78.01358066105946,79.0,0.9864193389405358
Big Powderhorn Mountain,Michigan,88.02048462614081,89.0,0.9795153738591864
Timber Ridge,Michigan,61.070196731061074,62.0,0.929803268938926
Okemo,Vermont,206.10659702023858,207.0,0.8934029797614187
Mystic Mountain,Pennsylvania,49.48050062735744,50.0,0.5194993726425565
Mohawk Mountain,Connecticut,80.66034022277995,81.0,0.33965977722004936
Pico Mountain,Vermont,123.71970460123248,124.0,0.28029539876752096
Hidden Valley (Pennsylvania),Pennsylvania,75.75133582078257,76.0,0.24866417921742823
